url,rank,tier,clicks,impressions,ctr,position,cumulative_pct
/licensees-guide/karaoke-night-101,60,3-review,0,76,0%,8.53,100.00
/licensees-guide/nobody-books-tables-anymore,61,3-review,0,75,0%,11.72,100.00
/licensees-guide/live-music-events-for-pubs,62,3-review,0,67,0%,9.4,100.00
/licensees-guide/pub-chalkboard-a-board-ideas,63,3-review,0,64,0%,6.67,100.00
/licensees-guide/young-people-wont-come-to-your-pub,64,3-review,0,58,0%,24.9,100.00
/licensees-guide/zero-waste-stock-management-pubs,65,3-review,0,53,0%,15.26,100.00
/licensees-guide/community-outreach-reintroduce-pub,66,3-review,0,50,0%,10.3,100.00
/licensees-guide/cashflow-fixes-when-trade-drops,67,3-review,0,49,0%,22.47,100.00
/licensees-guide/fizz-street-food-pop-up,68,3-review,0,45,0%,11.89,100.00
/licensees-guide/terrible-online-reviews-damage-control,69,3-review,0,43,0%,15,100.00
/licensees-guide/reboot-pub-atmosphere-on-budget,70,3-review,0,42,0%,7.36,100.00
/licensees-guide/menu-engineering-lift-average-spend,71,3-review,0,42,0%,7.64,100.00
/licensees-guide/kitchen-nightmares-chef-quits,72,3-review,0,42,0%,8.29,100.00
/licensees-guide/staff-motivation-hacks-no-pay-rise,73,3-review,0,34,0%,13.97,100.00
/licensees-guide/how-to-run-successful-pub-events,74,3-review,0,30,0%,19.17,100.00
/licensees-guide/quiet-monday-night-promotions,75,3-review,0,29,0%,6.28,100.00
/licensees-guide/social-media-tactics-footfall-seven-days,76,3-review,0,26,0%,8.58,100.00
/licensees-guide/rescue-your-margins-drinks-mix,77,3-review,0,24,0%,18.46,100.00
/licensees-guide/how-to-respond-bad-pub-reviews,78,3-review,0,22,0%,8.27,100.00
/licensees-guide/fill-empty-pub-tables,79,3-review,0,22,0%,9.14,100.00
/licensees-guide/low-cost-decor-refreshes-new-improved,80,3-review,0,21,0%,8.62,100.00
/licensees-guide/food-hygiene-rating-five-star-guide,81,3-review,0,21,0%,20.38,100.00
/licensees-guide/rent-supplier-negotiations-cash-tight,82,3-review,0,20,0%,6.15,100.00
/licensees-guide/epos-data-revenue-comeback,83,3-review,0,16,0%,9.06,100.00
/licensees-guide/win-back-locals-after-slow-trade,84,3-review,0,15,0%,6.73,100.00
/licensees-guide/crisis-pr-landlords-bad-reviews,85,3-review,0,15,0%,9.87,100.00
/licensees-guide/theme-hour-power-hour,86,3-review,0,13,0%,7.69,100.00
/licensees-guide/fill-empty-seats-midweek-offers,87,3-review,0,13,0%,7.77,100.00
/licensees-guide/sober-october-low-no-alcohol-pubs,88,3-review,0,13,0%,10.85,100.00
/licensees-guide/energy-bill-shock-cut-venue-costs,89,3-review,0,13,0%,18.77,100.00
/licensees-guide/pub-christmas-bookings-fill-december,90,3-review,0,12,0%,6.42,100.00
/licensees-guide/wine-tasting-evenings-for-pubs,91,3-review,0,11,0%,6.27,100.00
/licensees-guide/turn-heating-costs-into-winter-wins,92,3-review,0,11,0%,14.45,100.00
/licensees-guide/survive-off-season-revenue-packages,93,3-review,0,9,0%,15.78,100.00
/licensees-guide/email-marketing-pub-retention,94,3-review,0,9,0%,24.22,100.00
/licensees-guide/local-pub-marketing,95,3-review,0,9,0%,44.56,100.00
/licensees-guide/low-budget-pub-marketing-ideas,96,3-review,0,7,0%,7.29,100.00
/licensees-guide/family-craft-hour-101,97,3-review,0,7,0%,7.71,100.00
/licensees-guide/beat-chain-pubs,98,3-review,0,6,0%,5.33,100.00
/licensees-guide/restart-quiz-music-sport-roi,99,3-review,0,5,0%,7.2,100.00
/licensees-guide/delivery-click-collect-without-harm,100,3-review,0,4,0%,7.5,100.00
/licensees-guide/seasonal-pub-events-calendar,101,3-review,0,2,0%,5,100.00
/licensees-guide/cash-flow-crisis-breaking-cycle,102,3-review,0,2,0%,54,100.00
