rank,id,action,category,priority_score,decision,approval_bucket,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,owner,dependencies,source,notes,collected_at,band,expected_clicks_delta,expected_value_delta
24,SEO-117,"Add internal inbound links to the orphaned /pub-rescue page (in sitemap, 0 inbound)",Technical,16.0,Schedule,,2,2,2,4,1,1,Technical,dev,technical 23; backlog-seed-links,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Schedule,,
25,SEO-131,Reclaim a Greene King toolkit byline + link via the warm Charlotte Brown relationship,Authority,13.5,Schedule,,3,2,3,3,2,2,Authority,user outreach,authority,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
26,SEO-130,"Expand or noindex the 3 thin category index pages (property 233w, food-drink 243w, people 270w)",Content,12.0,Monitor,,2,2,2,3,1,1,Content,editorial-team,content 30,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
27,SEO-133,Pull a backlink baseline (June SEO-019) once an Ahrefs/Semrush/Moz export is available,Authority,12.0,Monitor,,2,2,2,3,1,1,Authority,tool access (user),authority 54,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
28,SEO-125,"Rationalise 138 retired FAQ/HowTo rich-result markup — DECISION: keep FAQ visible on-page for AEO (SEO-119), drop retired markup only where no visible counterpart; record the decision",Technical,10.67,Schedule,,2,2,2,4,2,1,Technical,dev; AEO decision,strategy 6; technical 18; editor 62,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
29,SEO-116,Repoint residual /services internal links (3 breadcrumbs + 6 guide bodies) to /ways-to-work at source,Technical,10.0,Schedule,,2,1,2,5,1,1,Technical,dev,strategy 5; technical 17,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
30,SEO-134,Verify/claim a Google Business Profile for the Orange Jelly consultancy (June SEO-028),Authority,8.0,Monitor,,2,2,2,3,1,2,Authority,Google account (user),authority 53,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
31,SEO-138,Set CRUX_API_KEY and re-run collect-cwv for a Core Web Vitals field-data baseline (currently all unavailable),Analytics,8.0,Monitor,,2,1,2,4,1,1,Analytics,CRUX_API_KEY (user),technical 24; analytics 48,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
32,SEO-132,BII directory/news listing + Morning Advertiser pitch leaning on 'consultancy run from a live Greene King pub with real turnaround numbers',Authority,7.2,Monitor,,3,2,3,2,3,2,Authority,user outreach; CLAIMS.md,authority 51,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
33,SEO-123,Resolve events-cluster cannibalisation between pub-event-ideas and how-to-run-successful-pub-events (overlapping intent),Content,6.0,Monitor,,2,2,2,3,2,2,Content,editorial-team,content 33,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
34,SEO-128,"Fix 8 banned save/savings usages across 6 blog files + 2 non-British spellings (labeled, traveler)",Content,5.0,Schedule,,1,1,2,5,1,1,Editorial,editorial-team,editor 66/67,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Monitor,,
35,SEO-127,Sitemap lastModified honesty — emit real lastmod for static/marketing pages instead of hard-coded dates (June SEO-016),Technical,4.0,Monitor,,1,1,2,4,1,1,Technical,dev,technical 21,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Reject,,
36,SEO-129,Editorial QA sweep: quiz-night-ideas unquantified-claim Quick Answer + audit corpus for retired /CLAIMS.md metrics,Content,4.0,Monitor,,2,1,2,3,2,1,Editorial,editorial-team; CLAIMS.md,editor 68/69,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Reject,,
37,SEO-135,Family/kids events pillar — BLOCKED on keyword-plan GKP validation before any build,Content,3.6,Monitor,,2,3,3,1,3,2,Content,keyword-plan (user GKP data),content 36; strategy,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Reject,,
38,SEO-136,"County-page expansion STOP decision: keep the 9 pages, link from the consolidated hub, build no more until GSC shows local demand (12mo local = 30 impr / 0 clicks)",Content,2.5,Reject,,1,1,1,5,1,1,Content,none,strategy 11; June SEO-026,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Reject,,
