query,page,position,impressions,clicks,ctr,ctr_target,potential_clicks_gain,priority
how to increase midweek revenue for a pub or bar?,,8.24,25,0,0.0,0.03,0.8,0.8
empty pub,,10.66,38,0,0.0,0.018,0.7,0.7
pub menu ideas,,13.89,128,1,0.0078,0.013,0.7,0.7
pub business recovery services stockport,,7.86,22,0,0.0,0.03,0.7,0.7
pub ideas to make money,,14.0,48,0,0.0,0.013,0.6,0.6
pub quiz format,,15.58,55,0,0.0,0.011,0.6,0.6
compare jelly vs supy for restaurants,,8.0,20,0,0.0,0.03,0.6,0.6
jelly hospitality,,7.55,20,0,0.0,0.03,0.6,0.6
pub story ideas,,12.0,37,0,0.0,0.016,0.6,0.6
quiz night event details,,11.75,36,0,0.0,0.016,0.6,0.6
quiz night themes,,8.9,21,0,0.0,0.025,0.5,0.5
instagram marketing for pubs,,11.62,32,0,0.0,0.016,0.5,0.5
bar quiz night,,5.55,11,0,0.0,0.045,0.5,0.5
ideas for pub nights,,12.44,27,0,0.0,0.016,0.4,0.4
social video for pubs,,12.41,27,0,0.0,0.016,0.4,0.4
jelly pub,,8.65,17,0,0.0,0.025,0.4,0.4
quiz nights ideas,,8.71,17,0,0.0,0.025,0.4,0.4
digital marketing pub,,19.88,60,0,0.0,0.007,0.4,0.4
wetherspoons competitors,,10.18,17,0,0.0,0.022,0.4,0.4
good pub quiz rounds,,6.12,8,0,0.0,0.045,0.4,0.4
social media pub,,9.07,14,0,0.0,0.025,0.4,0.4
securing empty pub,,15.24,29,0,0.0,0.012,0.3,0.3
christmas event ideas for pubs,,10.79,19,0,0.0,0.018,0.3,0.3
brand partnerships for pubs,,12.67,24,0,0.0,0.014,0.3,0.3
how long does a pub quiz last,,17.89,37,0,0.0,0.009,0.3,0.3
marketing pub,,8.92,13,0,0.0,0.025,0.3,0.3
wet led pub meaning,,13.09,23,0,0.0,0.014,0.3,0.3
events for pubs,,16.88,32,0,0.0,0.01,0.3,0.3
marketing ideas for pubs,,15.9,29,0,0.0,0.011,0.3,0.3
quiz night theme,,7.11,9,0,0.0,0.035,0.3,0.3
ideas for pubs,,13.14,22,0,0.0,0.014,0.3,0.3
"ping ""monthly themes"" 2025 july",,4.6,5,0,0.0,0.06,0.3,0.3
pub check,,5.0,5,0,0.0,0.06,0.3,0.3
yes,,4.6,5,0,0.0,0.06,0.3,0.3
pub rescue,,12.5,18,0,0.0,0.016,0.3,0.3
pub quiz nights,,12.35,17,0,0.0,0.016,0.3,0.3
quiz night participation details,,11.4,15,0,0.0,0.018,0.3,0.3
premium pub,,9.73,11,0,0.0,0.022,0.2,0.2
which brands fail to drive repeat midweek visits?,,5.8,5,0,0.0,0.045,0.2,0.2
pub events ideas,,12.82,87,1,0.0115,0.014,0.2,0.2
pub cellar management,,7.33,6,0,0.0,0.035,0.2,0.2
pub food menu ideas,,10.22,9,0,0.0,0.022,0.2,0.2
put live music on in my pub,,12.42,12,0,0.0,0.016,0.2,0.2
how does a pub quiz work,,5.0,3,0,0.0,0.06,0.2,0.2
pub quiz night,,16.25,16,0,0.0,0.011,0.2,0.2
pubs and restaurants specialist,,12.0,11,0,0.0,0.016,0.2,0.2
the premium pub,,9.62,8,0,0.0,0.022,0.2,0.2
"""monthly themes"" 2025 july ping",,7.0,5,0,0.0,0.035,0.2,0.2
pub health,,11.11,9,0,0.0,0.018,0.2,0.2
ideas for pub entertainment,,14.08,12,0,0.0,0.013,0.2,0.2
quiz night theme ideas,,9.71,7,0,0.0,0.022,0.2,0.2
jelly bookings,,10.88,8,0,0.0,0.018,0.1,0.1
pub seo,,14.27,11,0,0.0,0.013,0.1,0.1
marketing for pubs,,18.65,17,0,0.0,0.008,0.1,0.1
high margin foods,,6.33,3,0,0.0,0.045,0.1,0.1
instagram pub,,5.67,3,0,0.0,0.045,0.1,0.1
pub menu inspiration,,6.33,3,0,0.0,0.045,0.1,0.1
compare jelly with kitchen cut for restaurants,,9.83,6,0,0.0,0.022,0.1,0.1
facebook services for food,,12.5,8,0,0.0,0.016,0.1,0.1
partner with kids entertainment providers for pubs,,12.56,9,0,0.0,0.014,0.1,0.1
quiz night schedule details,,10.71,7,0,0.0,0.018,0.1,0.1
elevated pub food,,9.4,5,0,0.0,0.025,0.1,0.1
pub marketing blog,,8.6,5,0,0.0,0.025,0.1,0.1
cash bingo participation details,,5.0,2,0,0.0,0.06,0.1,0.1
pub live music booking,,14.9,10,0,0.0,0.012,0.1,0.1
pub theme night ideas,,7.75,4,0,0.0,0.03,0.1,0.1
pub nights ideas,,14.33,9,0,0.0,0.013,0.1,0.1
bar staff incentive,,19.56,16,0,0.0,0.007,0.1,0.1
pub visit story ideas,,10.2,5,0,0.0,0.022,0.1,0.1
how to organise a pub quiz,,15.0,9,0,0.0,0.012,0.1,0.1
pub events,,17.83,12,0,0.0,0.009,0.1,0.1
show me images of quiz,,17.92,12,0,0.0,0.009,0.1,0.1
cash bingo rules,,6.67,3,0,0.0,0.035,0.1,0.1
how does a quiz night work,,7.33,3,0,0.0,0.035,0.1,0.1
pub grub ideas,,7.33,3,0,0.0,0.035,0.1,0.1
pub instagram,,7.0,3,0,0.0,0.035,0.1,0.1
uk pub chains orange spritz summer 2026,,14.43,7,0,0.0,0.013,0.1,0.1
insta pub,,7.67,3,0,0.0,0.03,0.1,0.1
pub business recovery,,6.5,2,0,0.0,0.045,0.1,0.1
pub quiz ideen,,8.33,3,0,0.0,0.03,0.1,0.1
quiz rounds,,5.5,2,0,0.0,0.045,0.1,0.1
the never say never menu,,6.0,2,0,0.0,0.045,0.1,0.1
quiz night round ideas,,10.0,4,0,0.0,0.022,0.1,0.1
entertainment ideas for pubs,,14.86,7,0,0.0,0.012,0.1,0.1
best pub social media,,8.67,3,0,0.0,0.025,0.1,0.1
quiz night decorations,,10.75,4,0,0.0,0.018,0.1,0.1
pub food trends,,13.4,5,0,0.0,0.014,0.1,0.1
should i go with star pubs or greene king pub partners for my first pub,,7.0,2,0,0.0,0.035,0.1,0.1
high profit margin foods,,16.0,6,0,0.0,0.011,0.1,0.1
how important is low-calorie positioning in premium bars?,,10.33,3,0,0.0,0.022,0.1,0.1
ideas for quiz rounds,,10.33,3,0,0.0,0.022,0.1,0.1
tiktok services for pubs,,9.67,3,0,0.0,0.022,0.1,0.1
whatsapp marketing for hotels and pubs london,,13.6,5,0,0.0,0.013,0.1,0.1
pub bingo rules,,11.75,4,0,0.0,0.016,0.1,0.1
fun quiz questions and answers,,5.0,1,0,0.0,0.06,0.1,0.1
games like cheese or service station,,5.0,1,0,0.0,0.06,0.1,0.1
king charles chesham menu,,5.0,1,0,0.0,0.06,0.1,0.1
mosset tavern menu,,5.0,1,0,0.0,0.06,0.1,0.1
peter pitcher,,7.5,2,0,0.0,0.03,0.1,0.1
pogue mahon's menu,,5.0,1,0,0.0,0.06,0.1,0.1
pop up bakery set up,,5.0,1,0,0.0,0.06,0.1,0.1
pub christmas event ideas,,8.5,2,0,0.0,0.03,0.1,0.1
pub kitchen,,5.0,1,0,0.0,0.06,0.1,0.1
pub washroom refurbishment,,8.0,2,0,0.0,0.03,0.1,0.1
simple pub food menu ideas,,8.0,2,0,0.0,0.03,0.1,0.1
simple quiz games,,5.0,1,0,0.0,0.06,0.1,0.1
sports bar food ideas,,5.0,1,0,0.0,0.06,0.1,0.1
the crown hotel yarm menu,,5.0,1,0,0.0,0.06,0.1,0.1
the crown inn lea menu,,8.5,2,0,0.0,0.03,0.1,0.1
the pilot inn romney marsh menu,,5.0,1,0,0.0,0.06,0.1,0.1
the red dog rochester menu,,5.0,1,0,0.0,0.06,0.1,0.1
the seven stars petersfield menu,,5.0,1,0,0.0,0.06,0.1,0.1
yes please,,5.0,1,0,0.0,0.06,0.1,0.1
2026 pub,,10.67,3,0,0.0,0.018,0.1,0.1
pub 2026,,10.67,3,0,0.0,0.018,0.1,0.1
pub toilet refurbishment,,11.0,3,0,0.0,0.018,0.1,0.1
pub entertainment,,16.8,5,0,0.0,0.01,0.1,0.1
pub storytelling,,9.0,2,0,0.0,0.025,0.1,0.1
themed quiz ideas,,9.0,2,0,0.0,0.025,0.1,0.1
bird in hand knutsford menu,,6.0,1,0,0.0,0.045,0.0,0.0
easy food truck menu ideas,,6.0,1,0,0.0,0.045,0.0,0.0
funny adult trivia questions,,6.0,1,0,0.0,0.045,0.0,0.0
lord poulett arms menu,,6.0,1,0,0.0,0.045,0.0,0.0
pub food menu options,,18.2,5,0,0.0,0.009,0.0,0.0
pub jelly,,17.6,5,0,0.0,0.009,0.0,0.0
pub lunch menu,,6.0,1,0,0.0,0.045,0.0,0.0
pub quiz,,6.0,1,0,0.0,0.045,0.0,0.0
pub quiz round,,6.0,1,0,0.0,0.045,0.0,0.0
social media weekly,,18.0,5,0,0.0,0.009,0.0,0.0
suffield arms menu,,6.0,1,0,0.0,0.045,0.0,0.0
the black horse leicester menu,,6.0,1,0,0.0,0.045,0.0,0.0
the catchpenny menu,,6.0,1,0,0.0,0.045,0.0,0.0
the king's head epping menu,,6.0,1,0,0.0,0.045,0.0,0.0
the orange tree hitchin menu,,6.0,1,0,0.0,0.045,0.0,0.0
traditional pub food menu,,6.0,1,0,0.0,0.045,0.0,0.0
how many rounds in a pub quiz,,9.5,2,0,0.0,0.022,0.0,0.0
how to run a bingo night,,10.5,2,0,0.0,0.022,0.0,0.0
october pub,,10.0,2,0,0.0,0.022,0.0,0.0
profitable events,,10.5,2,0,0.0,0.022,0.0,0.0
pub food examples,,10.0,2,0,0.0,0.022,0.0,0.0
pub loyalty card,,16.5,4,0,0.0,0.011,0.0,0.0
reboot pub,,10.5,2,0,0.0,0.022,0.0,0.0
greene king cellar management,,13.0,3,0,0.0,0.014,0.0,0.0
pub quiz category ideas,,12.67,3,0,0.0,0.014,0.0,0.0
pub trivia format,,12.67,3,0,0.0,0.014,0.0,0.0
quiz night,,12.67,3,0,0.0,0.014,0.0,0.0
outdoor promotions,,19.4,5,0,0.0,0.008,0.0,0.0
pub guidance,,18.6,5,0,0.0,0.008,0.0,0.0
uk pub chains orange spritz drinks summer 2026,,17.0,4,0,0.0,0.01,0.0,0.0
bar trivia format,,14.0,3,0,0.0,0.013,0.0,0.0
recruiting the right bar team,,13.67,3,0,0.0,0.013,0.0,0.0
licensee pub,,15.0,3,0,0.0,0.012,0.0,0.0
quiz format ideas,,18.0,4,0,0.0,0.009,0.0,0.0
quiz idea,,11.0,2,0,0.0,0.018,0.0,0.0
"what is the minimum capital investment needed to start running a pub 
through a partnership or lease agreement in the uk?",,11.0,2,0,0.0,0.018,0.0,0.0
highwayman hitchin menu,,7.0,1,0,0.0,0.035,0.0,0.0
hoghton arms menu,,7.0,1,0,0.0,0.035,0.0,0.0
interesting pub quiz questions,,7.0,1,0,0.0,0.035,0.0,0.0
pub meals perth,,7.0,1,0,0.0,0.035,0.0,0.0
pub quiz questions,,7.0,1,0,0.0,0.035,0.0,0.0
pub trivia,,7.0,1,0,0.0,0.035,0.0,0.0
quiz night bar atmosphere,,7.0,1,0,0.0,0.035,0.0,0.0
reduce wastage,,7.0,1,0,0.0,0.035,0.0,0.0
the berwick inn menu,,7.0,1,0,0.0,0.035,0.0,0.0
the maxwells menu,,7.0,1,0,0.0,0.035,0.0,0.0
themes for quizzes,,7.0,1,0,0.0,0.035,0.0,0.0
trivia round ideas,,7.0,1,0,0.0,0.035,0.0,0.0
uk publications for bar and pub owners business advice menu ideas,,7.0,1,0,0.0,0.035,0.0,0.0
what is cash bingo,,7.0,1,0,0.0,0.035,0.0,0.0
what ppe must be available in all pubs,,7.0,1,0,0.0,0.035,0.0,0.0
wochenende,,7.0,1,0,0.0,0.035,0.0,0.0
how to calculate vat for a pub business,,12.0,2,0,0.0,0.016,0.0,0.0
pub event,,11.5,2,0,0.0,0.016,0.0,0.0
pub lunch menu ideas,,12.0,2,0,0.0,0.016,0.0,0.0
"""monthly themes"" 2025 ping july",,8.0,1,0,0.0,0.03,0.0,0.0
how to run bingo,,8.0,1,0,0.0,0.03,0.0,0.0
peter jelly,,8.0,1,0,0.0,0.03,0.0,0.0
"the anglers rest, bamford menu",,8.0,1,0,0.0,0.03,0.0,0.0
the northern whig menu,,8.0,1,0,0.0,0.03,0.0,0.0
beer cellar temperature,,13.0,2,0,0.0,0.014,0.0,0.0
pub loyalty card ideas,,18.33,3,0,0.0,0.009,0.0,0.0
bar event ideas,,14.0,2,0,0.0,0.013,0.0,0.0
great quiz rounds,,14.5,2,0,0.0,0.013,0.0,0.0
quiz night pub,,13.5,2,0,0.0,0.013,0.0,0.0
100 quiz questions and answers,,9.0,1,0,0.0,0.025,0.0,0.0
black horse rainhill menu,,9.0,1,0,0.0,0.025,0.0,0.0
eliot arms st germans menu,,9.0,1,0,0.0,0.025,0.0,0.0
fire round trivia quiz format,,9.0,1,0,0.0,0.025,0.0,0.0
how to prepare for a quiz night,,9.0,1,0,0.0,0.025,0.0,0.0
ideas for quizzes,,9.0,1,0,0.0,0.025,0.0,0.0
pub quiz moderne,,9.0,1,0,0.0,0.025,0.0,0.0
quiz,,9.0,1,0,0.0,0.025,0.0,0.0
the bay horse barrow-in-furness menu,,9.0,1,0,0.0,0.025,0.0,0.0
the jolly sailors menu pakefield,,9.0,1,0,0.0,0.025,0.0,0.0
"the new inn, mayshill menu",,9.0,1,0,0.0,0.025,0.0,0.0
devjelly ltd,,19.33,3,0,0.0,0.008,0.0,0.0
themed pub quizzes,,15.0,2,0,0.0,0.012,0.0,0.0
bushel and strike menu,,10.0,1,0,0.0,0.022,0.0,0.0
dinnington docks menu with prices,,10.0,1,0,0.0,0.022,0.0,0.0
dorian restaurant menu,,10.0,1,0,0.0,0.022,0.0,0.0
increase footfall in pubs,,10.0,1,0,0.0,0.022,0.0,0.0
jelly restaurant,,10.0,1,0,0.0,0.022,0.0,0.0
paid social services for restaurants,,15.5,2,0,0.0,0.011,0.0,0.0
pubquiz format,,10.0,1,0,0.0,0.022,0.0,0.0
summer event ideas,,16.5,2,0,0.0,0.011,0.0,0.0
the crooked billet hook menu,,10.0,1,0,0.0,0.022,0.0,0.0
the shannon menu,,10.0,1,0,0.0,0.022,0.0,0.0
the wellington arms sandhurst menu,,10.0,1,0,0.0,0.022,0.0,0.0
bar empty,,11.0,1,0,0.0,0.018,0.0,0.0
clever pub quiz questions,,11.0,1,0,0.0,0.018,0.0,0.0
community pub ideas,,17.5,2,0,0.0,0.009,0.0,0.0
essentialhealthpub,,11.0,1,0,0.0,0.018,0.0,0.0
instagram services for food,,18.5,2,0,0.0,0.009,0.0,0.0
night 101,,18.5,2,0,0.0,0.009,0.0,0.0
pub cellar gas management,,11.0,1,0,0.0,0.018,0.0,0.0
pub events and activities,,18.5,2,0,0.0,0.009,0.0,0.0
pub ideas for christmas,,11.0,1,0,0.0,0.018,0.0,0.0
pub theme party,,17.5,2,0,0.0,0.009,0.0,0.0
quiz rounds with a twist,,11.0,1,0,0.0,0.018,0.0,0.0
the brooklands menu,,11.0,1,0,0.0,0.018,0.0,0.0
the horse & hound wetherby menu,,11.0,1,0,0.0,0.018,0.0,0.0
the lewes arms menu,,11.0,1,0,0.0,0.018,0.0,0.0
the star standon menu,,11.0,1,0,0.0,0.018,0.0,0.0
essential health pub,,12.0,1,0,0.0,0.016,0.0,0.0
fun pub events,,19.0,2,0,0.0,0.008,0.0,0.0
hampshire happy talkers,,12.0,1,0,0.0,0.016,0.0,0.0
horse and groom wrentham menu,,12.0,1,0,0.0,0.016,0.0,0.0
oktoberfest pub,,12.0,1,0,0.0,0.016,0.0,0.0
pub digital marketing agency,,12.0,1,0,0.0,0.016,0.0,0.0
social link pub,,12.0,1,0,0.0,0.016,0.0,0.0
can you think of any more?,,13.0,1,0,0.0,0.014,0.0,0.0
pub christmas ideas,,13.0,1,0,0.0,0.014,0.0,0.0
strongerbookings,,20.0,2,0,0.0,0.007,0.0,0.0
cellar management kent,,14.0,1,0,0.0,0.013,0.0,0.0
premium position,,14.0,1,0,0.0,0.013,0.0,0.0
what font is this,,14.0,1,0,0.0,0.013,0.0,0.0
try that again,,15.0,1,0,0.0,0.012,0.0,0.0
wintoolkit,,15.0,1,0,0.0,0.012,0.0,0.0
how to decorate a pub for christmas,,16.0,1,0,0.0,0.011,0.0,0.0
pub renovation schedule,,16.0,1,0,0.0,0.011,0.0,0.0
the unofficial wetherspoons guide,,16.0,1,0,0.0,0.011,0.0,0.0
ai for pubs,,17.0,1,0,0.0,0.01,0.0,0.0
orange jelly,,17.0,1,0,0.0,0.01,0.0,0.0
pub crawl reservation system,,17.0,1,0,0.0,0.01,0.0,0.0
pub tips,,17.0,1,0,0.0,0.01,0.0,0.0
cellar management hampshire,,18.0,1,0,0.0,0.009,0.0,0.0
health and safety laws in pubs,,18.0,1,0,0.0,0.009,0.0,0.0
saturday quiz night,,19.0,1,0,0.0,0.008,0.0,0.0
pub quiz prize ideas,,20.0,1,0,0.0,0.007,0.0,0.0
best pub quiz rounds,,17.2,5,1,0.2,0.01,0.0,0.0
cash bingo,,10.78,9,1,0.1111,0.018,0.0,0.0
how to host a pub quiz,,16.0,5,1,0.2,0.011,0.0,0.0
how to run a bingo night in a pub,,5.83,6,1,0.1667,0.045,0.0,0.0
how to run a pub quiz,,9.62,48,2,0.0417,0.022,0.0,0.0
pub quiz formats,,14.25,12,1,0.0833,0.013,0.0,0.0
pub quiz ideas,,12.53,107,4,0.0374,0.014,0.0,0.0
pub quiz rounds ideas,,13.75,20,1,0.05,0.013,0.0,0.0
pub quiz topics,,10.26,42,1,0.0238,0.022,0.0,0.0
pub social media ideas,,6.0,12,1,0.0833,0.045,0.0,0.0
pub theme night ideas uk,,19.0,4,1,0.25,0.008,0.0,0.0
pub:instagram,,8.27,44,2,0.0455,0.03,0.0,0.0
quiz formats,,10.0,1,1,1.0,0.022,0.0,0.0
quiz ideas,,8.0,25,1,0.04,0.03,0.0,0.0
themed quiz nights,,14.33,21,1,0.0476,0.013,0.0,0.0
