rank,id,action,category,priority_score,decision,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,owner,dependencies,source,notes,collected_at
14,SEO-017,"Rebuild entity graph (AUTH-01): expand Organization sameAs (LinkedIn, GBP, Companies House, BII), add knowsAbout + founder Person sameAs",Authority,36.0,Schedule,3,3,4,4,2,2,Authority,Technical (schema); verifiable profiles; Risk Register (live schema),authority AUTH-01,,2026-06-16T09:00:00
15,SEO-014,Single-source the GONE list so the sitemap excludes the 410 URL (cash-flow-crisis-breaking-cycle),Technical,30.0,Schedule,3,2,3,5,1,2,Technical,Dev; Risk Register (sitemap),technical C-2; web-developer REC-4,,2026-06-16T09:00:00
16,SEO-025,FB/IG redirect-stub decision: prefer named-channel H2s on redirect target over un-redirecting; only un-redirect if GKP proves standalone demand,Content,27.43,Monitor,4,4,4,3,3,4,Content,keyword-plan/GKP validation first; Risk Register if un-redirected,content-strategy brief 1; copywriter finding 2; web-developer REC-16 (highest-risk item),,2026-06-16T09:00:00
17,SEO-022,Add quotable AI answer-blocks + author/expertise signals to the 4 cluster-leader guides (by-product of SEO-011),Content,27.0,Monitor,3,3,3,3,2,1,Content,Content; coupled to SEO-011; no AI-referral data (directional),opportunity-map F; authority AUTH-06; web-developer REC-23,,2026-06-16T09:00:00
18,SEO-028,Claim & complete a Google Business Profile for the Orange Jelly service entity (distinct from The Anchor),Authority,27.0,Monitor,3,3,4,3,2,2,Authority,Risk Register (GBP); add URL to sameAs (SEO-017),authority AUTH-02,,2026-06-16T09:00:00
19,SEO-018,"Run PSI + CrUX (mobile-first) for homepage, a top guide, and /ways-to-work to establish the CWV baseline (currently unavailable)",Analytics,24.0,Schedule,2,2,3,4,1,1,Analytics,PSI access,technical fix #9; web-developer REC-21,,2026-06-16T09:00:00
20,SEO-019,Pull backlink-tool baseline (AUTH-03) so referring domains/anchors/toxic links are measurable,Authority,24.0,Schedule,2,2,3,4,1,1,Authority,Ahrefs/Semrush/Moz access,authority AUTH-03,,2026-06-16T09:00:00
21,SEO-013,De-duplicate mobile interrupt stack on guides (StickyEngagementBar + blog StickyCTA + MobileScrollPrompt) to one CTA; gate in layout.tsx,UX,20.25,Schedule,3,3,3,3,2,2,UX,Dev; verify on 375px device,ux-cro finding 7 + quick win 6; web-developer REC-9,,2026-06-16T09:00:00
22,SEO-026,"Coherent UK regional location-page system (build on Kent/Oxfordshire; recovery-services intent at pos 7.9) - genuinely differentiated, not doorway pages",Authority,18.0,Monitor,3,3,4,3,4,2,Authority,Content; GKP for expansion; AUTH-02 GBP,strategy priority 4; authority gap; web-developer REC-18,,2026-06-16T09:00:00
23,SEO-030,"Earned-authority programme: GK tenant case-study feature (Tenant framing), Morning Advertiser opinion, BII listing/awards, 'From The Anchor' data asset, podcasts",Authority,18.0,Monitor,3,3,4,3,4,2,Authority,"Outreach; CLAIMS.md (%-only, Tenant framing); SEO-019 baseline",authority AUTH-04/05/07/08/09/10,,2026-06-16T09:00:00
24,SEO-021,Compress 3 oversized images (>200KB) to <100KB; add HSTS preload after confirming subdomains HTTPS-ready,Technical,16.0,Monitor,2,2,2,4,1,1,Technical,Dev,technical fix #10; web-developer REC-22,,2026-06-16T09:00:00
25,SEO-020,Verify GSC property type (Domain vs URL-prefix); filter cheersai./management. subdomain + protocol noise out of indexation reporting,Analytics,15.0,Monitor,2,1,3,5,1,1,Analytics,GSC admin,technical fix #8; analytics,,2026-06-16T09:00:00
26,SEO-016,Replace hardcoded sitemap lastModified for static/marketing pages with real update dates,Technical,15.0,Schedule,2,2,3,5,2,2,Technical,Dev; Risk Register (sitemap),technical fix #7; web-developer REC-13,,2026-06-16T09:00:00
27,SEO-027,"Family/kids events pillar (net-new) - the one validated content gap (~1,000+ impr pos 20-37); BUILD ONLY after GKP volume validation",Content,14.4,Monitor,3,3,4,2,3,2,Content,keyword-plan/GKP volume validation BEFORE build,content-strategy brief 4; copywriter finding 9; web-developer REC-19,,2026-06-16T09:00:00
28,SEO-023,Consolidate events cannibalisation (CAN-1): pub-event-ideas = pillar; how-to-run/pop-up/seasonal as sub-angles; merge thin pub-event-template-profit-nights,Content,13.5,Monitor,3,3,3,3,3,3,Content,Content Strategist owns merge; Risk Register (redirect of merged page),content-strategy CAN-1,,2026-06-16T09:00:00
29,SEO-024,Consolidate rescue/turnaround cluster to canonical /fix-my-pub (merge/redirect /pub-rescue + /empty-pub-solutions); 301 map,Content,10.12,Monitor,3,3,3,3,4,4,Content,Risk Register (301 redirects); Content owns canonical decision; GSC monitoring,content-strategy CAN-3; copywriter finding 7; web-developer REC-15,,2026-06-16T09:00:00
30,SEO-029,Hub consolidation (REC-10b): merge 5 competing commercial hubs to 1 canonical with 301 map + 4-8wk monitoring,Technical,10.12,Monitor,3,3,3,3,4,4,Technical,Content owns canonical decision; Risk Register (301s); GSC monitoring; gated on SEO-009,ux-cro finding 6; web-developer REC-10b/REC-15 (Large/risky),,2026-06-16T09:00:00
