query,page,position,impressions,clicks,ctr,ctr_target,potential_clicks_gain,priority
social video services for pubs,,18.08,13,0,0.0,0.009,0.1,0.1
securing empty pub,,11.17,6,0,0.0,0.018,0.1,0.1
show me images of quiz,,17.92,12,0,0.0,0.009,0.1,0.1
cash bingo rules,,6.67,3,0,0.0,0.035,0.1,0.1
how does a quiz night work,,7.33,3,0,0.0,0.035,0.1,0.1
pub quiz layout,,7.0,3,0,0.0,0.035,0.1,0.1
quiz night round ideas,,7.0,3,0,0.0,0.035,0.1,0.1
pub promotions that work,,14.38,8,0,0.0,0.013,0.1,0.1
jelly pub,,9.0,4,0,0.0,0.025,0.1,0.1
marketing ideas for pubs,,9.0,4,0,0.0,0.025,0.1,0.1
digital marketing pub,,14.43,7,0,0.0,0.013,0.1,0.1
pub nights ideas,,14.14,7,0,0.0,0.013,0.1,0.1
insta pub,,7.67,3,0,0.0,0.03,0.1,0.1
jelly bookings,,6.5,2,0,0.0,0.045,0.1,0.1
paid social services for pubs,,5.5,2,0,0.0,0.045,0.1,0.1
pub instagram,,6.0,2,0,0.0,0.045,0.1,0.1
weekly bar event ideas,,6.5,2,0,0.0,0.045,0.1,0.1
pub:instagram,,7.29,31,1,0.0323,0.035,0.1,0.1
brand partnerships for pubs,,12.4,5,0,0.0,0.016,0.1,0.1
how to organise a pub quiz,,16.75,8,0,0.0,0.01,0.1,0.1
ideas for pub nights,,11.6,5,0,0.0,0.016,0.1,0.1
how long do pub quizzes last,,16.0,7,0,0.0,0.011,0.1,0.1
how long are pub quizzes,,7.0,2,0,0.0,0.035,0.1,0.1
ideas for quiz rounds,,10.33,3,0,0.0,0.022,0.1,0.1
increase pub footfall with live music,,10.0,3,0,0.0,0.022,0.1,0.1
brand partnership services for pubs,,11.5,4,0,0.0,0.016,0.1,0.1
how to run a quiz night,,12.0,4,0,0.0,0.016,0.1,0.1
most profitable bar food,,19.0,8,0,0.0,0.008,0.1,0.1
pub bingo rules,,11.75,4,0,0.0,0.016,0.1,0.1
uk pub chains orange spritz summer 2026,,12.5,4,0,0.0,0.016,0.1,0.1
elevated pub food,,7.5,2,0,0.0,0.03,0.1,0.1
fun quiz questions and answers,,5.0,1,0,0.0,0.06,0.1,0.1
games like cheese or service station,,5.0,1,0,0.0,0.06,0.1,0.1
pub kitchen,,5.0,1,0,0.0,0.06,0.1,0.1
pub quiz rounds,,16.67,6,0,0.0,0.01,0.1,0.1
simple pub food menu ideas,,8.0,2,0,0.0,0.03,0.1,0.1
simple quiz games,,5.0,1,0,0.0,0.06,0.1,0.1
sports bar food ideas,,5.0,1,0,0.0,0.06,0.1,0.1
yes,,5.0,1,0,0.0,0.06,0.1,0.1
2026 pub,,10.67,3,0,0.0,0.018,0.1,0.1
pub 2026,,10.67,3,0,0.0,0.018,0.1,0.1
quiz night decorations,,10.67,3,0,0.0,0.018,0.1,0.1
events for pubs,,19.0,6,0,0.0,0.008,0.0,0.0
pub lunch menu,,6.0,1,0,0.0,0.045,0.0,0.0
pub quiz round,,6.0,1,0,0.0,0.045,0.0,0.0
the king's head epping menu,,6.0,1,0,0.0,0.045,0.0,0.0
traditional pub food menu,,6.0,1,0,0.0,0.045,0.0,0.0
how many rounds in a pub quiz,,9.5,2,0,0.0,0.022,0.0,0.0
how to run a bingo night,,10.5,2,0,0.0,0.022,0.0,0.0
october pub,,10.0,2,0,0.0,0.022,0.0,0.0
pub loyalty card,,16.5,4,0,0.0,0.011,0.0,0.0
reboot pub,,10.5,2,0,0.0,0.022,0.0,0.0
how long is a pub quiz,,12.67,3,0,0.0,0.014,0.0,0.0
pub quiz category ideas,,12.67,3,0,0.0,0.014,0.0,0.0
quiz night theme,,13.0,3,0,0.0,0.014,0.0,0.0
quiz night theme ideas,,13.33,3,0,0.0,0.014,0.0,0.0
pub quiz theme ideas,,14.0,3,0,0.0,0.013,0.0,0.0
recruiting the right bar team,,13.67,3,0,0.0,0.013,0.0,0.0
interesting pub quiz questions,,7.0,1,0,0.0,0.035,0.0,0.0
pub trivia,,7.0,1,0,0.0,0.035,0.0,0.0
themes for quizzes,,7.0,1,0,0.0,0.035,0.0,0.0
trivia round ideas,,7.0,1,0,0.0,0.035,0.0,0.0
what is cash bingo,,7.0,1,0,0.0,0.035,0.0,0.0
wochenende,,7.0,1,0,0.0,0.035,0.0,0.0
how to calculate vat for a pub business,,12.0,2,0,0.0,0.016,0.0,0.0
fun pub quiz ideas,,16.67,3,0,0.0,0.01,0.0,0.0
how to run bingo,,8.0,1,0,0.0,0.03,0.0,0.0
pub quiz structure,,8.0,1,0,0.0,0.03,0.0,0.0
themed pub quizzes,,8.0,1,0,0.0,0.03,0.0,0.0
themed quiz ideas,,8.0,1,0,0.0,0.03,0.0,0.0
ideas for pubs,,19.5,4,0,0.0,0.007,0.0,0.0
pub social media,,13.0,2,0,0.0,0.014,0.0,0.0
pub guidance,,18.33,3,0,0.0,0.009,0.0,0.0
pub marketing ideas,,18.0,3,0,0.0,0.009,0.0,0.0
great quiz rounds,,14.5,2,0,0.0,0.013,0.0,0.0
fire round trivia quiz format,,9.0,1,0,0.0,0.025,0.0,0.0
how to prepare for a quiz night,,9.0,1,0,0.0,0.025,0.0,0.0
ideas for quizzes,,9.0,1,0,0.0,0.025,0.0,0.0
quiz,,9.0,1,0,0.0,0.025,0.0,0.0
quiz night,,9.0,1,0,0.0,0.025,0.0,0.0
marketing for pubs,,15.0,2,0,0.0,0.012,0.0,0.0
dorian restaurant menu,,10.0,1,0,0.0,0.022,0.0,0.0
quiz format ideas,,15.5,2,0,0.0,0.011,0.0,0.0
ideas for pub entertainment,,17.0,2,0,0.0,0.01,0.0,0.0
bar empty,,11.0,1,0,0.0,0.018,0.0,0.0
night 101,,18.5,2,0,0.0,0.009,0.0,0.0
pub co branding,,11.0,1,0,0.0,0.018,0.0,0.0
pub menus ideas,,11.0,1,0,0.0,0.018,0.0,0.0
pub trivia format,,18.5,2,0,0.0,0.009,0.0,0.0
quiz idea,,11.0,1,0,0.0,0.018,0.0,0.0
quiz rounds with a twist,,11.0,1,0,0.0,0.018,0.0,0.0
oktoberfest pub,,12.0,1,0,0.0,0.016,0.0,0.0
pub event,,12.0,1,0,0.0,0.016,0.0,0.0
pub loyalty card ideas,,19.5,2,0,0.0,0.007,0.0,0.0
pub night ideas,,20.0,2,0,0.0,0.007,0.0,0.0
pub quiz nights,,13.0,1,0,0.0,0.014,0.0,0.0
pub theme night ideas,,14.0,1,0,0.0,0.013,0.0,0.0
pub tips,,17.0,1,0,0.0,0.01,0.0,0.0
quiz theme ideas,,18.0,1,0,0.0,0.009,0.0,0.0
bar trivia format,,19.0,1,0,0.0,0.008,0.0,0.0
trivia night ideas,,19.0,1,0,0.0,0.008,0.0,0.0
pub grub ideas,,20.0,1,0,0.0,0.007,0.0,0.0
pub quiz prize ideas,,20.0,1,0,0.0,0.007,0.0,0.0
best pub quiz rounds,,17.2,5,1,0.2,0.01,0.0,0.0
cash bingo,,10.78,9,1,0.1111,0.018,0.0,0.0
how to run a bingo night in a pub,,5.83,6,1,0.1667,0.045,0.0,0.0
how to run a pub quiz,,6.15,26,2,0.0769,0.045,0.0,0.0
ideas for pub events,,8.11,19,1,0.0526,0.03,0.0,0.0
ideas for pub quiz rounds,,8.4,10,2,0.2,0.03,0.0,0.0
pub event ideas,,16.57,83,1,0.012,0.01,0.0,0.0
pub quiz formats,,6.0,7,1,0.1429,0.045,0.0,0.0
pub quiz ideas,,7.3,66,3,0.0455,0.035,0.0,0.0
pub quiz rounds ideas,,6.46,13,1,0.0769,0.045,0.0,0.0
quiz formats,,10.0,1,1,1.0,0.022,0.0,0.0
quiz ideas,,8.0,25,1,0.04,0.03,0.0,0.0
social media marketing for pubs,,13.43,61,1,0.0164,0.014,0.0,0.0
themed quiz nights,,11.0,11,1,0.0909,0.018,0.0,0.0
